[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 27.189.135.87:8089: i/o timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55713
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: net/http: TLS handshake timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: proxyconnect tcp: dial tcp 103.249.86.48:3128: i/o timeout, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: read tcp 10.0.1.1:56019->15.235.10.31:28003: wsarecv: An existing connection was forcibly closed by the remote host., URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: context canceled, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55564
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: context canceled, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:55563
[反代][BILIAPI] 请求错误: unexpected EOF, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:56063
[反代][BILIAPI] 请求错误: context canceled, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:56063
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:56153
[反代][BILIAPI] 请求错误: Internal Server Error, URL: https://api.live.bilibili.com/room/v1/Room/playUrl?cid=3&qn=10000&platform=web, 方法: GET, 来源: 127.0.0.1:56153
